Aji Sax ji,Turu Yàlla la. Mooy Ki nekk ba fàww.
astandiku,"Mooy noppalu, noyyiwaat."
bànqanoos,"Ay ñuulit yu niin la yuy tegu ci taatu cin, mbaa ci waañ wu ñu yàgga togge."
bàq,Mooy suuf su tooy su tawee ba noppi.
barax,Gàncax la guy sax ci wetu dex.
barmol,Mooy sëllu wu doora juddu.
bufta,"Ab béjjénu kuuy la, bu ñu bënn ñaari wet yi, ngir man cee wal. Dañu ko daan jëfandikoo ngir joxe ndigal mbaa dajale nit ñi."
buur nopp,"Luy yéeme ba fees nopp. Li ma dégg tey de, buur na samay nopp."
callweer,"Ngelaw lu am doole, di wërngalu ak xél wu réy."
céebo,Taw bu jëkk la.
cumbur,Doomu mbaam la.
dàbbali,"Mooy defaraat tabax, ba mu gëna dëgër."
dagg,"Xeetu garab gu ndaw la, gu gëna dëgër xaaxaam."
dann,"Topp ci lenn rekk, di ko dàq, bañ koo ba. Dina firi itam ne cell."
dëël,Mooy dëkkal.
dëmbéen,"Jumtukaayu biir yaram bu nekk ci weti ndigg li, doon ñaar, di setal deret."
dénd,Mooy yaatuwaayu suuf mbaa ab béreb.
dëx,"Balaa ngay dugg cib néeg, dëx bi ngay jëkka joggi, mbaa nga jéggi ko."
dooñ,Mooy dagg jumbaxu liir buy doora juddu.
duural,Mooy sosal nit.
faagaagal,"Rey ay nit mbaa mala, ba ñu jeex tàkk. Ci Kàddug Yàlla, mooy li ñu jagleel Aji Sax ji, te nit sañu koo jëfandikoo."
faam,"Lu lay bi faam mooy lu lay bi tuuru ba defi fepp, sàng ko."
far,"Mooy jeexal tàkk, dindi."
fara bunt,Mooy jawriñu kilifa jiy wattu bunt yi.
faraas,"Dénd bu ne duŋŋ, dara saxu ca, dara nekku fa."
fëlëñu,Mooy daanu jéll bu metti.
fenqe,"Mooy boole ñaari yëf, bu ci nekk dal moroom ma ak doole. Seeni ñaari saamar fenqe."
fere,"Mooy ay gone, diy perantal itam."
ferñent,Mooy fettaxu sawara.
fétteeral,"Mooy topp jëf ju bon rekk, te artu taxul nga ba ko."
focci,Jamono ji garab guy joxe pepp tàmbalee génne gub.
fóññ,Lëndëmal kanam ndax mer. Mooy fuññ ba tey. Xale boo door mu ne fóññ.
ful,"Mooy bareel mbir, mbaa yokk ab xeet mbaa ay ngëneel mbaa barke."
fulandiwu,"Yokku, gëna bare, gëna sakkan. Nit ñi gëm nañu ne, kuy sarxe alalam day fulandiwu."
gàbb,"Suuf su ñu wara bey lañu koy def, di ko walbatee ab jumtukaay, ba mu nooy."
galag,Ab cér la bu nit ki mbaa gox bu bootu ci nguur di sédd kilifa gi toogal nguur gi.
gànc,"Góor mbaa jigéen juy jaay boppam, di moy Yàlla."
gànjar,"Ay takkaayi tànnéef lay doon, mbaa xeeti alal yu ni mel yu am njarte. Man naa doon wurus, mbaa xaalis mbaa xeeti per."
gaw,"Ab dëkk lañu ko daa def cib xare, bala ñu koo song, yéewe ko ay xarekat aki ngànnaay, ba kenn du dugg, kenn du génn. Man nañu koo def ay at yu bare ngir xiifal waa dëkk ba."
gawar,"Mooy xarekat bu war fas, mbaa kiy dawal watiiru xare."
gëndoo,"Jàpploo, booloo, doon benn. Bu tawee, ndox mépp ay wal, gëndoo benn béreb."
geño,"Ñu bokke ci geño, ñoo bokk baay mbaa maam ju góor ci wallu baay."
giif,"Soo meree, ba mer ma jeex."
giir,"Mooy barele ay doom aki sët, di firi itam askan ci wallu baay."
goor,Mooy tëdd tëraayu mala. Ma ngay yuug aka goor ni gayndeg sibi.
gooy,"Gub gu gooy ñorul ci ndeyam; day daanu, wow koŋŋ. Dugub ju gooy du am ñam."
gott,Àll bu am ay garab yu bare te mag.-
jarag,Nit ku wopp la.
jaww,Mooy diggante asamaan ak suuf.
jeeg,"Baat la bu mana weccikoonte ak «xasa», ñu di ko tekkee lu xasa am ba noppi. Mel ni Nit ku dee jeeg, doktoor amatu ci yoon."
jéeri,"Mooy bépp suuf su yaatu, su wuuteek géej, gëna réy dun. Dinañu faral di wax ne jéeri ak géej mooy àddina si."
jëtun,Ku jëkkëram faatu la. Mooy jëtur ba tey.
jëxëm,"Ku bare kawar, ba yaram wi sëq lañu koy wax."
jinigal,"Jëfi ngistal lay doon mbaa ay waxi neen yu nit kiy namma wone benn xar-kanam bu dul dëgg ci moom, ngir naxe."
joor,"Suuf su wow, su amul ndox. Ndox du fa taa, day dem ca xur wa. Waa Bawol, ag joor lañu miin. Amuñu dex, amuñu géej."
kàmbóot,"Ci tóor-tóoru garab la bokk, bindoo ni ab kopp."
kàngam,Kilifa gu bare xam-xam la cib dëkk.
kem,"Mooy wone fu ab dénd yem, muy am réew, ab dëkk, ab gox mbaa ab pàkk."
kéméj,Mooy cat li.
koltaar,"Sorewul ak godoroŋ. Dinañu ko fatte gaal ngir defaraat ko, ndox bañ cee dugg."
kulbét,Mooy jekki-jekki ubbi.
kuñeental,"Ci ab tool lañu koy def, di ko xoqtale ay rab yu ndaw, aki njanaaw, ngir ñu baña yàq tool bi."
laatikaaf,"Mooy sonn, loof, ba néew doole."
làng,"Ni ñu séddalee xeeti àddina, ay xeet la, xeet wu nekk aki làngam, làng gu nekk aki këram, kër gu nekk aki njabootam."
lẽe,"Xeetu gàncax gu ñuy ràbb la, ba def ko ndimol tànnéef lu woyof."
lël,"Lël sab noon, mooy xareek moom ba daan, foqati alalam."
lenqe,"Mbokk gu jege lay wone. Sa doomu jigéen, sa jarbaat lenqe la."
leqali,Dundalaat mbir mbaa càkktéef.
liir,"Xeeti gàncax guy law, di lalu ci mbir di ko yàq, te guusaay di ko indi."
liit,Jumtukaay bu bokk ci xeetu mbiib te gëna réy toxoro. Dañu koy defaree weñ.
lors,Xeetu pepp la.
lupp,Mooy fi féete kaw ci pooj.
màndaxekaay,"Jumtukaay la bu ñuy natte ab diisaay, ñu di ko wax itam peesekaay mbaa balaas."
màngaan,"Mooy di farala toxu, di dal feneen, mbaa wuti parlu yu gëna naat."
maraas,"Mooy maase, tàlli, amul kàmb, amul tund. Pàkk bu kenn tabaxul laa fa fekk, mu ne maraas."
mbàmbulaan,"Géej lañu koy dàkkentale, ndax màggaayam akum riiram."
mbas,"Jàngoro la juy law cib dëkk, di dal ñu bare."
mbelaar,Xeeti picc la.
mbell,Mooy fépp fu ñuy gas ba man faa ame xaalis mbaa wurus walla lépp luy xeetook weñ. Dañoo faral di doon ay kàmb yu sore ci biir suuf.
mbënn,"Mbënn mi man na doon bëtu ndox mbaa taa-taa ndox bu réy, ba jéggi dayo. Man na jóge it ci taw, mbaa muy ndox mu jóge ci suuf."
mbéx,Xewu jàmm muy indi mbégte.
Misra,"Mooy réew mi ñuy wax Esibtë tey, doonoon réewu Firawna."
mooco,"Mooy boppu yaxu pooj, bi dugglanteek yaxu ndigg."
mool,"Nitu géej la, moo xam muy liggéeye gaal, mbaa mu dib nappkat."
móol,"Dinañu ko wax muul itam. Ban bu ñuy def ci ndab lu xóot ngir mu jël bindub ndab la, weer ko ci naaj wi, mu wow, ñu di ko tegle ngir tabax ci ay béreb."
ndëgmeent,Bépp rab buy direeku mbaa di watatu ci suuf.
ndiiraan,"Lu bare lay doon, lu ànd di yëngu, di dem. Xale yi def nañu ndiiraan, topp màndikat bi."
nebbon,"Gerees la, diw gu way guy nekk ci nit mbaa mala."
ngajju,"Jumtukaay bu cat li ñaw, ñu di ko beye."
ngàngune,Moo di toogub buur.
ngàllo,"Béreb la bu ñuy yóbbu ay jaam, dëkkal leen fa."
ngëlén,"Ngelaw lay doon, lu réya réy."
ngér,Mooy bépp yoonu ngëm.
nguul,Yetu sàmm la bu réy bu sàmm biy gànnaayoo.
njafaan,"Mooy jaxase, boole cuuraay mbaa diw, mbaa di sàppali ag naan."
njanaaw ,"Moo di mboolem xeeti picc mu tuut mbaa mu réy, muy naaw mbaa muy dox."
njëgg,Giléem yu bare yu sëf am njaay.
njekkar,Mooy naqar lu réy mbaa ab jéyye.
njobbaxtal,"Ca kaw-a-kaw, ca coll ba. Mooy jombaxtal ba tëy"
ñag,Mooy aar ab tóokër mbaa dëkkuwaay ak ñax mbaa ay bant yu bare dég. Day firndeel kem itam.
ñalgu,"Yéeg lu mel ni garab, mbaa aw tund, mbaa miir."
ñall,Yoon wu sew la cib àll.
ñéeblu,"Mooy néegadee lor ki ngay jëflanteel, yërëm ko."
paaxe,Ku xarafagul lañu koy wax.
pakk,"Ngànnaay la lu ñuy ŋàbb, di ko aaroo."
parlu,Àll la bu jur giy fore.
